50,57
40,59
9,28
33,35
13,26
12,16
49,58
22,26
33,34
11,25
35,44
6,29
52,53
9,18
0,26
12,21
30,59
4,28
33,45
9,10
9,19
33,52
37,56
15,22
36,57
38,50
3,4
36,44
6,22
16,25
31,34
32,45
3,29
9,21
33,54
0,24
22,29
8,29
21,27
33,39
47,58
12,28
41,43
13,18
0,6
9,13
16,28
17,28
38,44
40,49
7,10
0,28
43,52
52,54
30,42
1,22
35,36
12,14
33,37
33,57
49,57
36,58
36,42
33,49
5,8
43,50
15,29
6,16
16,26
48,57
30,44
47,50
11,12
31,59
0,10
37,48
2,13
31,32
20,29
18,20
45,48
38,52
10,29
39,40
4,23
50,55
14,18
33,55
38,56
54,56
52,58
31,53
46,49
1,5
50,52
41,54
39,51
14,31
43,57
7,25
36,39
38,59
30,40
32,49
39,42
54,58
31,52
13,15
4,5
41,52
46,50
19,25
12,20
40,47
7,27
14,24
1,25
52,57
16,29
34,36
14,25
42,48
42,55
15,18
42,52
33,48
5,10
37,50
9,17
6,23
35,38
2,21
58,59
57,59
31,39
22,23
8,15
40,42
12,15
37,39
8,26
41,44
30,49
13,23
41,48
38,53
2,9
2,4
30,51
53,57
1,12
50,53
1,28
38,46
15,23
2,18
56,59
12,25
21,22
47,49
14,15
36,46
6,26
35,41
18,28
49,51
0,23
36,59
8,24
11,17
39,43
44,58
17,27
17,24
44,55
51,55
0,18
48,56
48,59
23,27
54,55
2,7
15,25
4,15
10,26
38,57
1,19
37,58
7,26
36,40
0,7
42,49
14,26
42,46
25,29
50,51
8,20
36,55
14,22
7,22
46,55
20,24
9,24
7,9
35,46
40,56
37,38
47,54
8,12
0,4
32,54
14,16
26,29
50,54
17,21
44,52
6,14
42,51
33,43
25,28
1,3
49,59
35,54
7,17
46,53
19,28
43,49
34,35
5,19
30,35
45,52
18,24
39,55
11,29
41,46
4,7
2,25
31,44
11,27
31,47
2,28
37,41
33,58
45,51
45,54
18,26
36,51
30,43
1,23
52,55
4,12
34,39
34,42
5,26
43,56
31,54
43,51
1,17
51,56
22,28
8,18
17,29
6,19
32,56
34,57
6,18
48,58
8,27
42,58
15,21
33,53
5,12
35,42
9,14
37,44
18,21
5,18
43,48
30,34
51,53
34,40
34,43
5,27
10,16
46,56
20,25
2,17
32,35
5,15
43,45
46,51
32,33
13,17
32,43
3,28
8,10
30,33
37,49
9,16
35,53
7,19
19,27
46,52
57,58
31,45
11,28
18,27
31,42
35,43
19,20
43,58
16,27
6,8
1,27
30,38
41,49
32,53
4,10
31,58
3,13
45,59
35,50
7,13
6,9
34,45
53,58
31,48
35,45
8,13
3,21
46,48
46,54
35,55
20,23
34,56
18,19
12,24
3,16
